ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2023-09-11T15:06:50.000,0.04,172.26,-0.04,0.01
2023-09-11T15:21:50.000,0.25,175.68,-0.24,0.02
2023-09-11T15:36:50.000,0.44,218.03,-0.34,-0.27
2023-09-11T15:51:50.000,0.13,281.00,0.03,-0.13
2023-09-11T16:06:50.000,0.47,166.96,-0.46,0.11
2023-09-11T16:21:50.000,0.10,202.26,-0.09,-0.04
2023-09-11T16:36:50.000,0.39,211.44,-0.33,-0.20
2023-09-11T16:51:50.000,0.08,210.97,-0.07,-0.04
2023-09-11T17:06:50.000,0.04,160.88,-0.04,0.01
2023-09-11T17:21:50.000,0.10,8.14,0.10,0.01
2023-09-11T17:36:50.000,0.07,344.37,0.07,-0.02
2023-09-11T17:51:50.000,0.17,23.56,0.15,0.07
2023-09-11T18:06:50.000,0.08,174.89,-0.08,0.01
2023-09-11T18:21:50.000,0.05,341.60,0.05,-0.02
2023-09-11T18:36:50.000,0.22,357.94,0.22,-0.01
2023-09-11T18:51:50.000,0.28,15.15,0.27,0.07
2023-09-11T19:06:50.000,0.11,21.89,0.10,0.04
2023-09-11T19:21:50.000,0.35,19.89,0.33,0.12
2023-09-11T19:36:50.000,0.04,203.34,-0.04,-0.02
2023-09-11T19:51:50.000,0.10,49.25,0.07,0.08
2023-09-11T20:06:50.000,0.15,26.72,0.13,0.07
