ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2023-08-21T04:44:22.000,0.33,338.84,0.31,-0.12
2023-08-21T04:59:22.000,0.22,320.62,0.17,-0.14
2023-08-21T05:14:22.000,0.24,283.39,0.06,-0.23
2023-08-21T05:29:22.000,0.56,350.64,0.56,-0.09
2023-08-21T05:44:22.000,0.33,20.32,0.31,0.12
2023-08-21T05:59:22.000,0.4,37.46,0.32,0.24
2023-08-21T06:14:22.000,0.23,9.42,0.22,0.04
2023-08-21T06:29:22.000,0.66,49.92,0.42,0.5
2023-08-21T06:44:22.000,0.44,348.33,0.43,-0.09
2023-08-21T06:59:22.000,0.11,252.74,-0.03,-0.11
2023-08-21T07:14:22.000,0.51,359.56,0.51,0
2023-08-21T07:29:22.000,0.56,348.23,0.55,-0.11
2023-08-21T07:44:22.000,0.88,343.42,0.85,-0.25
2023-08-21T07:59:22.000,0.25,352.07,0.25,-0.03
2023-08-21T08:14:22.000,0.17,308.03,0.11,-0.14
2023-08-21T08:29:22.000,0.19,146.91,-0.16,0.11
2023-08-21T08:44:22.000,0.52,297.04,0.24,-0.46
2023-08-21T08:59:22.000,0.98,354.46,0.97,-0.09
2023-08-21T09:14:22.000,1.43,316.88,1.05,-0.98
2023-08-21T09:29:22.000,0.12,38.27,0.09,0.07
2023-08-21T09:44:22.000,0.14,6.99,0.14,0.02
2023-08-21T09:59:22.000,0.24,330.73,0.21,-0.12
2023-08-21T10:14:22.000,0.33,2.83,0.33,0.02
2023-08-21T10:29:22.000,0.51,58.13,0.27,0.44
2023-08-21T10:44:22.000,0.37,58.21,0.2,0.32
2023-08-21T10:59:22.000,0.35,33.51,0.29,0.19
2023-08-21T11:14:22.000,0.58,35.15,0.48,0.34
2023-08-21T11:29:22.000,0.91,74.35,0.25,0.88
2023-08-21T11:44:22.000,0.44,90.05,0,0.44
2023-08-21T11:59:22.000,1.04,344.31,1,-0.28
2023-08-21T12:14:22.000,0.66,59.71,0.33,0.57
2023-08-21T12:29:22.000,0.47,33.58,0.39,0.26
2023-08-21T12:44:22.000,0.5,58.53,0.26,0.43
2023-08-21T12:59:22.000,0.43,356.67,0.43,-0.02
2023-08-21T13:14:22.000,0.17,269.2,0,-0.17
2023-08-21T13:29:22.000,0.01,141.85,0,0
2023-08-21T13:44:22.000,0.05,142.05,-0.04,0.03
2023-08-21T13:59:22.000,0.29,320.56,0.22,-0.18
2023-08-21T14:14:22.000,0.37,30.77,0.32,0.19
2023-08-21T14:29:22.000,0.6,12.92,0.59,0.14
2023-08-21T14:44:22.000,0.48,126.57,-0.29,0.39
2023-08-21T14:59:22.000,0.1,64.94,0.04,0.09
2023-08-21T15:14:22.000,0.35,24.21,0.32,0.14
2023-08-21T15:29:22.000,0.55,57.58,0.29,0.46
2023-08-21T15:44:22.000,0.51,45.45,0.36,0.37
2023-08-21T15:59:22.000,0.48,43.18,0.35,0.33
2023-08-21T16:14:22.000,0.25,63.66,0.11,0.22
2023-08-21T16:29:22.000,0.38,22.11,0.35,0.14
2023-08-21T16:44:22.000,0.04,292.2,0.02,-0.04
2023-08-21T16:59:22.000,0.34,358.55,0.34,-0.01
2023-08-21T17:14:22.000,0.28,344.13,0.27,-0.08
2023-08-21T17:29:22.000,0.6,0.83,0.6,0.01
2023-08-21T17:44:22.000,1.54,124.21,-0.87,1.27
2023-08-21T17:59:22.000,0.15,18.39,0.15,0.05
2023-08-21T18:14:22.000,0.37,98.13,-0.05,0.36
2023-08-21T18:29:22.000,0.33,36.43,0.26,0.19
2023-08-21T18:44:22.000,0.56,240.01,-0.28,-0.49
2023-08-21T18:59:22.000,0.61,311.13,0.4,-0.46
2023-08-21T19:14:22.000,1,146.1,-0.83,0.56
2023-08-21T19:29:22.000,0.92,157.59,-0.85,0.35
2023-08-21T19:44:22.000,0.08,125.13,-0.04,0.06
2023-08-21T19:59:22.000,0.12,358.85,0.12,0
2023-08-21T20:14:22.000,0.6,13.22,0.58,0.14
2023-08-21T20:29:22.000,0.5,309.39,0.32,-0.39
2023-08-21T20:44:22.000,0.36,340.85,0.34,-0.12
2023-08-21T20:59:22.000,0.3,254.85,-0.08,-0.29
2023-08-21T21:14:22.000,0.04,143.1,-0.03,0.02
2023-08-21T21:29:22.000,0.3,31.81,0.25,0.16
2023-08-21T21:44:22.000,0.36,271.05,0.01,-0.36
2023-08-21T21:59:22.000,0.19,300.3,0.1,-0.17
2023-08-21T22:14:22.000,0.08,128.24,-0.05,0.06
2023-08-21T22:29:22.000,0.26,1.68,0.26,0.01
2023-08-21T22:44:22.000,0.24,227.14,-0.16,-0.17
2023-08-21T22:59:22.000,0.04,334.71,0.04,-0.02
2023-08-21T23:14:22.000,0.37,347.35,0.36,-0.08
2023-08-21T23:29:22.000,0.33,30.35,0.29,0.17
2023-08-21T23:44:22.000,0.2,330.53,0.18,-0.1
