ISO 8601 Time,Speed (cm/s),Heading (degrees),Velocity-N (cm/s),Velocity-E (cm/s)
2023-08-20T06:23:20.000,0.52,337.46,0.48,-0.20
2023-08-20T06:38:20.000,0.24,348.53,0.23,-0.05
2023-08-20T06:53:20.000,0.38,307.04,0.23,-0.30
2023-08-20T07:08:20.000,0.31,329.19,0.26,-0.16
2023-08-20T07:23:20.000,0.15,311.21,0.10,-0.11
2023-08-20T07:38:20.000,0.10,0.68,0.10,0.00
2023-08-20T07:53:20.000,0.21,351.53,0.21,-0.03
2023-08-20T08:08:20.000,0.34,255.86,-0.08,-0.33
2023-08-20T08:23:20.000,0.38,201.31,-0.35,-0.14
2023-08-20T08:38:20.000,0.78,213.72,-0.65,-0.43
2023-08-20T08:53:20.000,0.36,296.01,0.16,-0.33
2023-08-20T09:08:20.000,0.53,280.98,0.10,-0.52
2023-08-20T09:23:20.000,0.35,294.28,0.15,-0.32
2023-08-20T09:38:20.000,0.35,199.12,-0.33,-0.11
2023-08-20T09:53:20.000,0.32,220.61,-0.24,-0.21
2023-08-20T10:08:20.000,0.33,342.91,0.32,-0.10
2023-08-20T10:23:20.000,0.18,305.29,0.10,-0.15
2023-08-20T10:38:20.000,0.24,272.27,0.01,-0.24
2023-08-20T10:53:20.000,0.30,290.81,0.11,-0.28
2023-08-20T11:08:20.000,0.51,24.94,0.46,0.21
2023-08-20T11:23:20.000,0.69,95.77,-0.07,0.69
2023-08-20T11:38:20.000,0.58,319.45,0.44,-0.38
2023-08-20T11:53:20.000,0.30,359.25,0.30,-0.00
2023-08-20T12:08:20.000,0.61,32.53,0.51,0.33
2023-08-20T12:23:20.000,0.91,35.89,0.74,0.53
2023-08-20T12:38:20.000,0.59,12.79,0.57,0.13
2023-08-20T12:53:20.000,0.42,31.87,0.35,0.22
2023-08-20T13:08:20.000,0.40,24.43,0.36,0.16
2023-08-20T13:23:20.000,1.41,114.63,-0.59,1.28
2023-08-20T13:38:20.000,2.56,124.77,-1.46,2.10
2023-08-20T13:53:20.000,0.85,117.70,-0.39,0.75
2023-08-20T14:08:20.000,0.31,86.62,0.02,0.30
2023-08-20T14:23:20.000,1.23,88.41,0.03,1.23
2023-08-20T14:38:20.000,0.84,108.53,-0.27,0.79
2023-08-20T14:53:20.000,0.38,316.59,0.28,-0.26
2023-08-20T15:08:20.000,0.32,14.71,0.31,0.08
2023-08-20T15:23:20.000,0.18,46.45,0.12,0.13
2023-08-20T15:38:20.000,0.68,52.67,0.41,0.54
2023-08-20T15:53:20.000,0.53,50.78,0.33,0.41
2023-08-20T16:08:20.000,0.77,68.79,0.28,0.72
2023-08-20T16:23:20.000,0.32,347.91,0.32,-0.07
2023-08-20T16:38:20.000,0.86,315.72,0.62,-0.60
2023-08-20T16:53:20.000,0.80,342.12,0.76,-0.25
2023-08-20T17:08:20.000,0.04,15.92,0.04,0.01
2023-08-20T17:23:20.000,0.43,349.59,0.42,-0.08
2023-08-20T17:38:20.000,0.81,356.43,0.81,-0.05
2023-08-20T17:53:20.000,0.26,67.44,0.10,0.24
2023-08-20T18:08:20.000,0.24,324.60,0.19,-0.14
2023-08-20T18:23:20.000,0.81,338.12,0.76,-0.30
2023-08-20T18:38:20.000,0.43,340.93,0.40,-0.14
2023-08-20T18:53:20.000,0.99,327.58,0.84,-0.53
2023-08-20T19:08:20.000,0.39,5.67,0.39,0.04
