Date,Time (GMT),Predicted (m),Preliminary (m),Verified (m)
8/20/2023,4:18,0.192,-,0.32
8/20/2023,4:24,0.191,-,0.32
8/20/2023,4:30,0.189,-,0.324
8/20/2023,4:36,0.188,-,0.328
8/20/2023,4:42,0.186,-,0.33
8/20/2023,4:48,0.185,-,0.333
8/20/2023,4:54,0.183,-,0.327
8/20/2023,5:00,0.182,-,0.324
8/20/2023,5:06,0.181,-,0.325
8/20/2023,5:12,0.179,-,0.322
8/20/2023,5:18,0.178,-,0.32
8/20/2023,5:24,0.177,-,0.321
8/20/2023,5:30,0.175,-,0.319
8/20/2023,5:36,0.174,-,0.316
8/20/2023,5:42,0.173,-,0.314
8/20/2023,5:48,0.172,-,0.308
8/20/2023,5:54,0.17,-,0.308
8/20/2023,6:00,0.169,-,0.309
8/20/2023,6:06,0.168,-,0.312
8/20/2023,6:12,0.167,-,0.316
8/20/2023,6:18,0.166,-,0.311
8/20/2023,6:24,0.165,-,0.311
8/20/2023,6:30,0.164,-,0.308
8/20/2023,6:36,0.163,-,0.308
8/20/2023,6:42,0.162,-,0.312
8/20/2023,6:48,0.161,-,0.322
8/20/2023,6:54,0.16,-,0.323
8/20/2023,7:00,0.16,-,0.318
8/20/2023,7:06,0.159,-,0.311
8/20/2023,7:12,0.158,-,0.31
8/20/2023,7:18,0.157,-,0.301
8/20/2023,7:24,0.156,-,0.307
8/20/2023,7:30,0.156,-,0.302
8/20/2023,7:36,0.155,-,0.308
8/20/2023,7:42,0.154,-,0.314
8/20/2023,7:48,0.153,-,0.319
8/20/2023,7:54,0.153,-,0.319
8/20/2023,8:00,0.152,-,0.311
8/20/2023,8:06,0.151,-,0.31
8/20/2023,8:12,0.15,-,0.3
8/20/2023,8:18,0.15,-,0.304
8/20/2023,8:24,0.149,-,0.307
8/20/2023,8:30,0.148,-,0.31
8/20/2023,8:36,0.148,-,0.314
8/20/2023,8:42,0.147,-,0.317
8/20/2023,8:48,0.146,-,0.314
8/20/2023,8:54,0.146,-,0.313
8/20/2023,9:00,0.145,-,0.306
8/20/2023,9:06,0.144,-,0.308
8/20/2023,9:12,0.144,-,0.303
8/20/2023,9:18,0.143,-,0.308
8/20/2023,9:24,0.143,-,0.314
8/20/2023,9:30,0.142,-,0.32
8/20/2023,9:36,0.141,-,0.318
8/20/2023,9:42,0.141,-,0.315
8/20/2023,9:48,0.14,-,0.311
8/20/2023,9:54,0.14,-,0.308
8/20/2023,10:00,0.14,-,0.31
8/20/2023,10:06,0.139,-,0.315
8/20/2023,10:12,0.139,-,0.311
8/20/2023,10:18,0.138,-,0.315
8/20/2023,10:24,0.138,-,0.307
8/20/2023,10:30,0.138,-,0.309
8/20/2023,10:36,0.138,-,0.306
8/20/2023,10:42,0.137,-,0.312
8/20/2023,10:48,0.137,-,0.309
8/20/2023,10:54,0.137,-,0.31
8/20/2023,11:00,0.137,-,0.305
8/20/2023,11:06,0.137,-,0.316
8/20/2023,11:12,0.137,-,0.316
8/20/2023,11:18,0.137,-,0.317
8/20/2023,11:24,0.137,-,0.313
8/20/2023,11:30,0.137,-,0.307
8/20/2023,11:36,0.137,-,0.305
8/20/2023,11:42,0.138,-,0.306
8/20/2023,11:48,0.138,-,0.303
8/20/2023,11:54,0.138,-,0.304
8/20/2023,12:00,0.138,-,0.303
8/20/2023,12:06,0.139,-,0.308
8/20/2023,12:12,0.139,-,0.308
8/20/2023,12:18,0.139,-,0.303
8/20/2023,12:24,0.14,-,0.302
8/20/2023,12:30,0.14,-,0.304
8/20/2023,12:36,0.141,-,0.308
8/20/2023,12:42,0.141,-,0.297
8/20/2023,12:48,0.142,-,0.302
8/20/2023,12:54,0.142,-,0.301
8/20/2023,13:00,0.142,-,0.304
8/20/2023,13:06,0.143,-,0.302
8/20/2023,13:12,0.143,-,0.303
8/20/2023,13:18,0.144,-,0.296
8/20/2023,13:24,0.144,-,0.295
8/20/2023,13:30,0.144,-,0.297
8/20/2023,13:36,0.145,-,0.307
